paperId,title,abstract,year,citationCount,influentialCitationCount,doi,url,publicationTypes,venue
21a8aaceb8984952950f3ebdd4bfd445813419c8,Application of Vegetation Indices for Agricultural Crop Yield Prediction Using Neural Network Techniques,"Spatial variability in a crop field creates a need for precision agriculture. Economical and rapid means of identifying spatial variability is obtained through the use of geotechnology (remotely sensed images of the crop field, image processing, GIS modeling approach, and GPS usage) and data mining techniques for model development. Higher-end image processing techniques are followed to establish more precision. The goal of this paper was to investigate the strength of key spectral vegetation indices for agricultural crop yield prediction using neural network techniques. Four widely used spectral indices were investigated in a study of irrigated corn crop yields in the Oakes Irrigation Test Area research site of North Dakota, USA. These indices were: (a) red and near-infrared (NIR) based normalized difference vegetation index (NDVI), (b) green and NIR based green vegetation index (GVI), (c) red and NIR based soil adjusted vegetation index (SAVI), and (d) red and NIR based perpendicular vegetation index (PVI). These four indices were investigated for corn yield during 3 years (1998, 1999, and 2001) and for the pooled data of these 3 years. Initially, Back-propagation Neural Network (BPNN) models were developed, including 16 models (4 indices * 4 years including the data from the pooled years) to test for the efficiency determination of those four vegetation indices in corn crop yield prediction. The corn yield was best predicted using BPNN models that used the means and standard deviations of PVI grid images. In all three years, it provided higher prediction accuracies, coefficient of determination (r2), and lower standard error of prediction than the models involving GVI, NDVI, and SAVI image information. The GVI, NDVI, and SAVI models for all three years provided average testing prediction accuracies of 24.26% to 94.85%, 19.36% to 95.04%, and 19.24% to 95.04%, respectively while the PVI models for all three years provided average testing prediction accuracies of 83.50% to 96.04%. The PVI pool model provided better average testing prediction accuracy of 94% with respect to other vegetation models, for which it ranged from 89–93%. Similarly, the PVI pool model provided coefficient of determination (r2) value of 0.45 as compared to 0.31–0.37 for other index models. Log10 data transformation technique was used to enhance the prediction ability of the PVI models of years 1998, 1999, and 2001 as it was chosen as the preferred index. Another model (Transformed PVI (Pool)) was developed using the log10 transformed PVI image information to show its global application. The transformed PVI models provided average corn yield prediction accuracies of 90%, 97%, and 98% for years 1998, 1999, and 2001, respectively. The pool PVI transformed model provided as average testing accuracy of 93% along with r2 value of 0.72 and standard error of prediction of 0.05 t/ha.",2010,365,11,10.3390/rs2030673,https://www.semanticscholar.org/paper/21a8aaceb8984952950f3ebdd4bfd445813419c8,JournalArticle,Remote Sensing
e420a488d20c5ad75ac5230fd3ccc3c0b790ecd3,"Review of Agricultural Policy Evolution, Agricultural Data Sources, and Food Supply and Demand Studies in Egypt, A",,2010,8,0,,https://www.semanticscholar.org/paper/e420a488d20c5ad75ac5230fd3ccc3c0b790ecd3,Review,
f4b1453fb86b04d841b68dfe963d134b3a7c1f74,A wireless sensor network using energy harvesting for agricultural machinery,,2010,11,1,10.1007/s00502-010-0719-0,https://www.semanticscholar.org/paper/f4b1453fb86b04d841b68dfe963d134b3a7c1f74,JournalArticle,Elektrotech. Informationstechnik
f9ede7ff67003ef1de06ea1ccb8eac9c7d3041fb,WSN as a Tool for Supporting Agriculture in the Precision Irrigation,,2010,62,1,10.1109/ICNS.2010.26,https://www.semanticscholar.org/paper/f9ede7ff67003ef1de06ea1ccb8eac9c7d3041fb,Conference,2010 Sixth International Conference on Networking and Services
cf34ba2beb033fb2f525c6be10852042c164b239,Effect of Subsurface Drip System in Nitrate Leaching,"Fertigation enables the application of soluble fertilizers and other chemicals along with irrigation water, uniformly and more efficiently. Improved water efficiency under drip irrigation, by reducing percolation and evaporation losses, provides for environmentally safer fertilizer application through the irrigation water. The overall problem is to identify economically viable practices that offer a significant reduction of NO3-N losses through leaching, which also fit in the farming systems practiced under a particular soil type and set of climate conditions. An experiment was conducted at Precision Farming Development Centre, Water Technology Centre, Indian Agricultural Research Institute, New Delhi to study the leaching of nitrate from the root zone of potato under surface and subsurface drip irrigation system. The study consisted of 2 types of drip system (surface and surface drip) as main treatments and 3 levels of irrigation including 100% crop evapotranspiration, 80% of crop evapotranspiration and 60 % of crop evapotranspiration as sub-treatments. Direct correlation was found between the amount of irrigation water and nitrate leaching. Reduction of amount of irrigation water to the tune of 40% decreased the nitrate leaching from 30% to 10 per cent. It was observed that by changing the position of water source from surface to subsurface, the nitrate leaching decreased by 12-20%, and thus subsurface drip (10 cm depth of drip tape) was recommended in potato crop to get higher yield with minimum leaching of soil nitrate-nitrogen.",2010,1,0,10.52151/jae2010471.1401,https://www.semanticscholar.org/paper/cf34ba2beb033fb2f525c6be10852042c164b239,JournalArticle,Journal of Agricultural Engineering
337efcb12edaf1b8902e86f2604f32639cebb640,Application of Programmable Controller in Precision Seeder,,2010,2,0,10.1109/ICMTMA.2010.239,https://www.semanticscholar.org/paper/337efcb12edaf1b8902e86f2604f32639cebb640,Conference,International Conference on Measuring Technology and Mechatronics Automation
1d45e60e1b1b30adfe891ffedec90e08c8d4ceeb,Simple analytical method for determination of pesticide residues in human serum by liquid chromatography tandem mass spectrometry,,2010,16,1,10.1080/03601231003613666,https://www.semanticscholar.org/paper/1d45e60e1b1b30adfe891ffedec90e08c8d4ceeb,"Study,JournalArticle","Journal of Environmental Science and Health. Part B - Pesticides, Food Contaminants, and Agricultural Wastes"
d66e5b6d43dd4747215e2c1e53cc7aae39d00968,تحلیل عاملی عوامل موثر در ایجاد روحیه کارآفرینی دانشجویان تحصیلات تکمیلی(مطالعه موردی: پردیس کشاورزی و منابع طبیعی دانشگاه تهران),,2010,0,0,10.22067/JEAD2.V1389I1.3487,https://www.semanticscholar.org/paper/d66e5b6d43dd4747215e2c1e53cc7aae39d00968,Review,
166355519196388bfc13099f98a5528bcd040845,Digital Northern Great Plains: A Web-Based System Delivering Near Real Time Remote Sensing Data for Precision Agriculture,"The US Northern Great Plains is one of the world’s most agriculturally productive areas. Growers in the region are eager to adopt modern technology to improve productivity and income. Use of information derived from remote sensing satellites to better manage farms and rangelands while reducing environmental impacts has gained popularity in recent years. However, prohibitive costs and non-availability of near real time remote sensing imagery has slowed the adoption of this technology for in-field decision making. Digital Northern Great Plains (DNGP), a web based remote sensing data dissemination system, was developed to address these drawbacks. It provides end users easy and free access to a variety of imagery and products in near real time. With delivery of archived and current data, DNGP has helped farmers and ranchers reduce operational costs and increase productivity through a variety of innovative applications. Moreover, negative environmental impacts were lessened.",2010,20,1,10.3390/rs2030861,https://www.semanticscholar.org/paper/166355519196388bfc13099f98a5528bcd040845,JournalArticle,Remote Sensing
1f407ba997265fdd0d72432dcf8b5d39ad5f0540,A Review: The Role of Remote Sensing in Precision Agriculture,"Precision agriculture is an emerging farm management strategy that is changing the way people farm. At present, there is an increasing commitment to reduce reliance on excessive chemical inputs in agriculture. Numerous technologies have been applied to make agricultural products safer and to lower their adverse impacts on the environment, a goal that is consistent with sustainable agriculture. Precision agriculture has emerged as a valuable component of the framework to achieve this goal. This review highlighted on remote sensing technology and describes how it can be used as an effective tool in precision agriculture.",2010,262,4,10.3844/AJABSSP.2010.50.55,https://www.semanticscholar.org/paper/1f407ba997265fdd0d72432dcf8b5d39ad5f0540,Review,
75694d502121ee88697393bb569aa1b19fc4c3f7,(CPS)^2: integration of center pivot systems with wireless underground sensor networks for autonomous precision agriculture,,2010,61,6,10.1145/1795194.1795206,https://www.semanticscholar.org/paper/75694d502121ee88697393bb569aa1b19fc4c3f7,JournalArticle,International Conference on Cyber-Physical Systems
4fe870ebf208907f0e04adba27070a1831a50158,Agricultural survey methods,,2010,49,3,10.1002/9780470665480,https://www.semanticscholar.org/paper/4fe870ebf208907f0e04adba27070a1831a50158,Review,
e3465de8b10e06d3a80ddd72b53672976c78242d,Localization algorithms in wireless sensor networks using nonmetric multidimensional scaling with RSSI for precision agriculture,,2010,10,0,10.1109/ICCAE.2010.5451282,https://www.semanticscholar.org/paper/e3465de8b10e06d3a80ddd72b53672976c78242d,Conference,International Conference on Computer and Automation Engineering
04a3d9cab65a560fd167df4d8490e64bcc7b1fd7,"Continuous hourly radon gradient observations at Cabauw, the Netherlands - a review of main features of the 2007-2009 dataset",,2010,0,0,,https://www.semanticscholar.org/paper/04a3d9cab65a560fd167df4d8490e64bcc7b1fd7,Review,
3192a8b66ebd90c071185fd9088900d4d9de421e,[Applications of near infrared reflectance spectroscopy technique to determination of forage mycotoxins].,,2010,0,0,,https://www.semanticscholar.org/paper/3192a8b66ebd90c071185fd9088900d4d9de421e,JournalArticle,Guang pu xue yu guang pu fen xi = Guang pu
6b55cd861b4b530debfbea28245fc1d0ac40e2b8,Machine vision-based weed spot spraying: a review and where next for sugarcane?,,2010,24,1,,https://www.semanticscholar.org/paper/6b55cd861b4b530debfbea28245fc1d0ac40e2b8,Review,
77ac755b931750bdfb2d2e72117d32e731493ca8,Network Corrected Real-Time Kinematic - Infrastructure Partnering betwen Industry and Earth Sciences,,2010,0,0,,https://www.semanticscholar.org/paper/77ac755b931750bdfb2d2e72117d32e731493ca8,Review,
ef29da536f99361354f09a368671d52e76177817,"Determination of indoxacarb enantiomer residues in vegetables, fruits, and soil by high-performance liquid chromatography.",,2010,12,1,10.1093/JAOAC/93.3.1007,https://www.semanticscholar.org/paper/ef29da536f99361354f09a368671d52e76177817,JournalArticle,Journal of AOAC International
d8050b68f44c65bb1bc2d4fee3f3ba2bad0d83e4,Multipath adaptive filtering in GNSS/RTK-based machine automation applications,,2010,4,0,10.1109/PLANS.2010.5507201,https://www.semanticscholar.org/paper/d8050b68f44c65bb1bc2d4fee3f3ba2bad0d83e4,Review,IEEE - ION Position Location and Navigation Symposium
24c51ca58d5d938eb3b0c08e2c557bdef506c86f,Validation of a crop field modeling to simulate agronomic images.,"In precision agriculture, crop/weed discrimination is often based on image analysis but though several algorithms using spatial information have been proposed, not any has been tested on relevant databases. A simple model that simulates virtual fields is developed to evaluate these algorithms. Virtual fields are made of crops, arranged according to agricultural practices and represented by simple patterns, and weeds that are spatially distributed using a statistical approach. It ensures a user-defined Weed Infestation Rate (WIR). Then, experimental devices using cameras are simulated with a pinhole model. Its ability to characterize the spatial reality is demonstrated through different pairs (real, virtual) of pictures. Two spatial descriptors (nearest neighbor method and Besag's function) have been set up and tested to validate the spatial realism of the crop field model, comparing a real image to the homologous virtual one.",2010,4,0,10.1364/OE.18.010694,https://www.semanticscholar.org/paper/24c51ca58d5d938eb3b0c08e2c557bdef506c86f,JournalArticle,Optics Express
7de4bad1413b436c5058818735295113c59032ca,Spatial Variable Importance Assessment for Yield Prediction in Precision Agriculture,,2010,30,0,10.1007/978-3-642-13062-5_18,https://www.semanticscholar.org/paper/7de4bad1413b436c5058818735295113c59032ca,JournalArticle,International Symposium on Intelligent Data Analysis
6520bc58c70d099f8f9098c2903fd336c38ba1e9,Modelling the energy cost of a fully operational wireless sensor network,,2010,41,4,10.1007/s11235-009-9228-z,https://www.semanticscholar.org/paper/6520bc58c70d099f8f9098c2903fd336c38ba1e9,JournalArticle,Telecommunications Systems
cfee8c731f5413121c11ba20979b477ed531e981,Assessment of methods for estimating wild rabbit population abundance in agricultural landscapes,,2010,40,1,10.1007/s10344-009-0327-7,https://www.semanticscholar.org/paper/cfee8c731f5413121c11ba20979b477ed531e981,Review,Zeitschrift f\ ur Jagdwissenschaft
f96442ceed8dd7169f029dc5ad38e5222b38a294,CEMSYS modelled wind erosion,,2010,3,0,,https://www.semanticscholar.org/paper/f96442ceed8dd7169f029dc5ad38e5222b38a294,Review,
ff530b5a3c667e757445e57839192edceb33fc2b,[Using the distance between hyperspectral red edge position and yellow edge position to identify wheat yellow rust disease].,,2010,9,0,,https://www.semanticscholar.org/paper/ff530b5a3c667e757445e57839192edceb33fc2b,JournalArticle,Guang pu xue yu guang pu fen xi = Guang pu
b1f3eae1daaaef1124a0835a26fdd80f38fb176a,"A Combined Forecasting Method of Grain Yield in China Based on GM(1,1) and BP Network",,2010,3,0,10.1109/ICIC.2010.289,https://www.semanticscholar.org/paper/b1f3eae1daaaef1124a0835a26fdd80f38fb176a,Conference,2010 Third International Conference on Information and Computing
8e5990e4161188465917a4a6cadb110167c6796e,SAR and Landsat ETM+ image fusion using variational model,,2010,14,1,10.1109/CCTAE.2010.5544210,https://www.semanticscholar.org/paper/8e5990e4161188465917a4a6cadb110167c6796e,Conference,International Conference on Computer and Communication Technologies in Agriculture Engineering
c4536cd21000fb527bf4e1ed8b6fb5ad99783c81,The realization of precision agriculture monitoring system based on wireless sensor network,,2010,58,1,10.1109/CCTAE.2010.5544354,https://www.semanticscholar.org/paper/c4536cd21000fb527bf4e1ed8b6fb5ad99783c81,Conference,International Conference on Computer and Communication Technologies in Agriculture Engineering
da8183138a3234eb9c208c64218f6dbfee528b3a,Research and development precision irrigation control system in agricultural,,2010,23,1,10.1109/CCTAE.2010.5544390,https://www.semanticscholar.org/paper/da8183138a3234eb9c208c64218f6dbfee528b3a,Conference,International Conference on Computer and Communication Technologies in Agriculture Engineering
b1aed7f8730e821670db57b76f9e9f5a7344cf66,Clustering of crop phenotypes by means of hyperspectral signatures using artificial neural networks,,2010,23,0,10.1109/WHISPERS.2010.5594947,https://www.semanticscholar.org/paper/b1aed7f8730e821670db57b76f9e9f5a7344cf66,JournalArticle,Workshop on Hyperspectral Image and Signal Processing
7d6bf25d28a60a9b37fc88db3188890ed4270845,Estimation of vegetation Equivalent Water Thickness using hyperspectral data and partial least square regression,,2010,3,0,10.1109/GEOINFORMATICS.2010.5567984,https://www.semanticscholar.org/paper/7d6bf25d28a60a9b37fc88db3188890ed4270845,"JournalArticle,Conference",GEOINFORMATICS
dd7a5f4e5a5d54f709effd760c6557367a57358e,Cropland parcels extraction based on texture analysis and multi-spectral image classification,,2010,3,0,10.1109/GEOINFORMATICS.2010.5567949,https://www.semanticscholar.org/paper/dd7a5f4e5a5d54f709effd760c6557367a57358e,"JournalArticle,Conference",GEOINFORMATICS
5fa35923a47cc6e7f97a03452a4ef0161a70a7ff,Special issue of papers from the 7th European Conference on Precision Agriculture (ECPA),,2010,0,0,10.1007/s11119-010-9182-5,https://www.semanticscholar.org/paper/5fa35923a47cc6e7f97a03452a4ef0161a70a7ff,Review,Precision Agriculture
30b9a2e417ed46027eb3059c6cb67a8a0f738929,The use of characteristic features of wireless cellular networks for transmission of GNSS assistance and correction data,,2010,3,0,,https://www.semanticscholar.org/paper/30b9a2e417ed46027eb3059c6cb67a8a0f738929,"Conference,Review","Proceedings of the ITI 2010, 32nd International Conference on Information Technology Interfaces"
13974c88a0c4d055f78897bdbbf9cc54f89ea046,An energy-efficient wireless sensor network for precision agriculture,,2010,49,1,10.1109/ISCC.2010.5546508,https://www.semanticscholar.org/paper/13974c88a0c4d055f78897bdbbf9cc54f89ea046,JournalArticle,The IEEE symposium on Computers and Communications
fa54993764a5a6428bb5f5c0c823440439c492e2,"Ecocritique: Contesting the Politics of Nature, Economy, and Culture (review)",,2010,0,0,10.1353/rap.2010.0065,https://www.semanticscholar.org/paper/fa54993764a5a6428bb5f5c0c823440439c492e2,Review,
80b515b0f7eacc949894db3c12864520870f2082,HJ-1A HSI image data quality evaluation and application potential for features recognition,,2010,0,0,10.1109/ICCDA.2010.5540840,https://www.semanticscholar.org/paper/80b515b0f7eacc949894db3c12864520870f2082,Conference,2010 International Conference On Computer Design and Applications
e852df32398cc47d8edba678b123dc09f994d813,Design and implementation of wireless sensor and actor network for precision agriculture,,2010,17,2,10.1109/WCINS.2010.5544151,https://www.semanticscholar.org/paper/e852df32398cc47d8edba678b123dc09f994d813,"JournalArticle,Conference","IEEE International Conference on Wireless Communications, Networking and Information Security"
941c5efefdcd90125296387d91b09d14d83b11b0,Data Mining in Precision Agriculture: Management of Spatial Information,,2010,83,0,10.1007/978-3-642-14049-5_36,https://www.semanticscholar.org/paper/941c5efefdcd90125296387d91b09d14d83b11b0,"JournalArticle,Review",International Conference on Information Processing and Management of Uncertainty
a3408d2ec113c88aba76b4f70657c22aee47891e,Design and First Results of an UAV-Borne L-Band Radiometer for Multiple Monitoring Purposes,"UAV (unmanned Aerial Vehicle) platforms represent a challenging opportunity for the deployment of a number of remote sensors. These vehicles are a cost-effective option in front of manned aerial vehicles (planes and helicopters), are easy to deploy due to the short runways needed, and they allow users to meet the critical requirements of the spatial and temporal resolutions imposed by the instruments. L-band radiometers are an interesting option for obtaining soil moisture maps over local areas with relatively high spatial resolution for precision agriculture, coastal monitoring, estimation of the risk of fires, flood prevention, etc. This paper presents the design of a light-weight, airborne L-band radiometer for deployment in a small UAV, including the hardware and specific software developed for calibration, geo-referencing, and soil moisture retrieval. First results and soil moisture retrievals from different field experiments are presented.",2010,59,1,10.3390/rs2071662,https://www.semanticscholar.org/paper/a3408d2ec113c88aba76b4f70657c22aee47891e,JournalArticle,Remote Sensing
5ad3993b2b56f10931e55bd2394931204e568b44,Survey examines the adoption of perceived best management practices for almond nutrition.,"Fertilizer use in California agriculture has been under recent scrutiny regarding its impacts on air, surface water and groundwater quality. In June 2007, we surveyed almond growers to assess their plant nutrition practices, identify opportunities for improvement, and target research and extension needs. The majority of respondents, particularly those with large almond acreages, used fertigation to apply nitrogen; applied nitrogen coincident with periods of maximal plant demand; and collected annual tissue samples for analysis. While the survey results suggested broad compliance with the best-available management practices and are likely to indicate good nutrient-use efficiency, they also suggested that growers are uncertain about current practices to monitor orchard nutrient status and would value additional information to enable greater precision in fertilization rates and timing.",2010,26,0,10.3733/CA.V064N03P149,https://www.semanticscholar.org/paper/5ad3993b2b56f10931e55bd2394931204e568b44,Review,
8ee0e5ee0e9b3be02d8619813e3d7221455ff35e,[Winter wheat growth spatial variation study based on temporal airborne high-spectrum images].,,2010,1,0,,https://www.semanticscholar.org/paper/8ee0e5ee0e9b3be02d8619813e3d7221455ff35e,JournalArticle,Guang pu xue yu guang pu fen xi = Guang pu
a8752c484834395b408157260ceb68973de11591,Precision genetics for complex objectives in animal agriculture,"ABSTRACT Indirect modification of animal genomes by interspecific hybridization, cross-breeding, and selection has produced an enormous spectrum of phenotypic diversity over more than 10,000 yr of animal domestication. Using these established technologies, the farming community has successfully increased the yield and efficiency of production in most agricultural species while utilizing land resources that are often unsuitable for other agricultural purposes. Moving forward, animal well-being and agricultural sustainability are moral and economic priorities of consumers and producers alike. Therefore, these considerations will be included in any strategy designed to meet the challenges produced by global climate change and an expanding world population. Improvements in the efficiency and precision of genetic technologies will enable a timely response to meet the multifaceted food requirements of a rapidly increasing world population.",2010,58,2,10.2527/jas.2010-2847,https://www.semanticscholar.org/paper/a8752c484834395b408157260ceb68973de11591,JournalArticle,Journal of Animal Science
2fec5a0838e0443d6a1c872a081089008297be43,HOW TO INTEGRATE MULTI-SENSOR DATA FOR PRECISION AGRICULTURE,,2010,0,0,,https://www.semanticscholar.org/paper/2fec5a0838e0443d6a1c872a081089008297be43,Review,
fd088e2d6aa5b8f407c06c1bd1e235c7cc539657,Spatio-temporal variability of soil moisture at the field scale using remote and proximal sensing,,2010,0,0,,https://www.semanticscholar.org/paper/fd088e2d6aa5b8f407c06c1bd1e235c7cc539657,Review,
613dbd1b87286989b53aabd59a1f4dbbc0d90d1c,Validation of a virtual agronomic image modelling,,2010,0,0,10.1109/IPTA.2010.5586743,https://www.semanticscholar.org/paper/613dbd1b87286989b53aabd59a1f4dbbc0d90d1c,"JournalArticle,Conference",International Conference on Image Processing Theory Tools and Applications
483944100d0c661b53a027f421ccbb5f1d6996d8,Regression Models for Spatial Data: An Example from Precision Agriculture,,2010,20,0,10.1007/978-3-642-14400-4_35,https://www.semanticscholar.org/paper/483944100d0c661b53a027f421ccbb5f1d6996d8,"JournalArticle,Conference,Review",Industrial Conference on Data Mining
886e78bd385c47159f940653c69d61d81a437610,Is Agricultural Biotechnology Part of Sustainable Agriculture? Different Views in Switzerland and New Zealand,,2010,10,0,10.2139/ssrn.1709892,https://www.semanticscholar.org/paper/886e78bd385c47159f940653c69d61d81a437610,Review,
bfbfbccb9f00f3653aee661fca800eaa3efaf62b,Monitoring frost disaster of cotton based on difference of vegetation index and canopy temperature by remote sensing,,2010,3,0,10.1109/ESIAT.2010.5568971,https://www.semanticscholar.org/paper/bfbfbccb9f00f3653aee661fca800eaa3efaf62b,Conference,2010 The 2nd Conference on Environmental Science and Information Application Technology
062fab632a5086837fdafa87db1ffe541dfc0704,Button Heat-Pulse Sensor for Soil Water Content Measurements,,2010,13,0,10.1109/SENSORDEVICES.2010.40,https://www.semanticscholar.org/paper/062fab632a5086837fdafa87db1ffe541dfc0704,Conference,2010 First International Conference on Sensor Device Technologies and Applications
b0ad487d18037ff5873a6d5e0605ec237e0262ae,Development of a Machine-Road Simulator for Performance Investigation of Height Measuring Sensors in Earth Moving Machinery,,2010,0,0,10.1109/SENSORDEVICES.2010.10,https://www.semanticscholar.org/paper/b0ad487d18037ff5873a6d5e0605ec237e0262ae,"Conference,Review",2010 First International Conference on Sensor Device Technologies and Applications
5ce3d9cdc1aeb20f73ffdadea92fd227eef2354b,Supporting precision agriculture with dual-polarimetric TerraSAR-X - yield prediction and identification of in-field variations to generate fertilizer prescription maps,,2010,0,0,10.1109/IGARSS.2010.5650531,https://www.semanticscholar.org/paper/5ce3d9cdc1aeb20f73ffdadea92fd227eef2354b,JournalArticle,IEEE International Geoscience and Remote Sensing Symposium
530bfa5b82430cade992d14ec91b6d2be9ca7658,The design and field application of high-resolution pushbroom imaging spectrometer,,2010,1,0,,https://www.semanticscholar.org/paper/530bfa5b82430cade992d14ec91b6d2be9ca7658,Conference,Proceedings of the 29th Chinese Control Conference
30e631dc284a0bf6d923cdd0674d768ff38c68ca,Heterokaryotic nuclear conditions and a heterogeneous nuclear population are observed by flow cytometry in Phytophthora infestans,,2010,38,2,10.1002/cyto.a.20888,https://www.semanticscholar.org/paper/30e631dc284a0bf6d923cdd0674d768ff38c68ca,JournalArticle,Cytometry Part A
4f75648de8d035f588f4e69effdc8e01466ae9cb,"Amitraz Exposure and Risks to Pesticide Applicators and Nearby Residents in Zangiabad, Iran",,2010,1,0,,https://www.semanticscholar.org/paper/4f75648de8d035f588f4e69effdc8e01466ae9cb,Review,
5bbf749a87786b368fbcce32a901745f42fe66c4,Bioassessment tools in novel habitats: an evaluation of indices and sampling methods in low-gradient streams in California,,2010,13,2,10.1007/s10661-009-1033-3,https://www.semanticscholar.org/paper/5bbf749a87786b368fbcce32a901745f42fe66c4,JournalArticle,Environmental Monitoring & Assessment
e3f1b34c344e62fa74e258953a49c1f300b2121f,[Using hyperspectral remote sensing to estimate canopy chlorophyll density of wheat under yellow rust stress].,,2010,16,1,,https://www.semanticscholar.org/paper/e3f1b34c344e62fa74e258953a49c1f300b2121f,JournalArticle,Guang pu xue yu guang pu fen xi = Guang pu
c84f0c84365d24544c17afe29b0c06ab15a1dc2e,Design of a Wireless Sensor Network for Farmland Monitoring,,2010,2,0,10.1109/FCST.2010.51,https://www.semanticscholar.org/paper/c84f0c84365d24544c17afe29b0c06ab15a1dc2e,"JournalArticle,Conference",2010 Fifth International Conference on Frontier of Computer Science and Technology
